index,Country Key,Country,Date,Precipitation,Temp Avg,Temp Max,Temp Min
176,5,Australia,2/4/2020,0.03,70.0,76.0,64.0
177,5,Australia,2/5/2020,0.0,74.0,82.0,65.0
178,5,Australia,2/6/2020,0.09,71.0,79.0,67.0
179,5,Australia,2/7/2020,1.18,69.0,72.0,66.0
180,5,Australia,2/8/2020,2.1,71.0,77.0,66.0
181,5,Australia,2/9/2020,2.75,70.0,75.0,66.0
202,5,Australia,3/1/2020,0.0,78.0,,67.0
203,5,Australia,3/2/2020,0.0,77.0,103.0,
204,6,Austria,1/22/2020,,28.0,,17.0
205,6,Austria,1/23/2020,,28.0,,18.0
206,6,Austria,1/24/2020,,31.0,,19.0
207,6,Austria,1/25/2020,,31.0,,24.0
208,6,Austria,1/26/2020,,32.0,,25.0
209,6,Austria,1/27/2020,,36.0,,28.0
210,6,Austria,1/28/2020,,38.0,44.0,
211,6,Austria,1/29/2020,,33.0,,
212,6,Austria,1/30/2020,,35.0,,
213,6,Austria,1/31/2020,,39.0,,
214,6,Austria,2/1/2020,,39.0,,
223,6,Austria,2/10/2020,,44.0,,36.0
224,6,Austria,2/11/2020,0.24,41.0,,
225,6,Austria,2/12/2020,0.05,36.0,,30.0
226,6,Austria,2/13/2020,,39.0,,27.0
227,6,Austria,2/14/2020,0.06,40.0,,
228,6,Austria,2/15/2020,,37.0,,27.0
229,6,Austria,2/16/2020,,41.0,,28.0
230,6,Austria,2/17/2020,,47.0,,35.0
231,6,Austria,2/18/2020,,44.0,,
232,6,Austria,2/19/2020,,35.0,,28.0
215,6,Austria,2/2/2020,0.16,40.0,,34.0
233,6,Austria,2/20/2020,,35.0,,28.0
234,6,Austria,2/21/2020,,40.0,,28.0
235,6,Austria,2/22/2020,,44.0,,30.0
236,6,Austria,2/23/2020,,49.0,,34.0
237,6,Austria,2/24/2020,0.2,47.0,,
238,6,Austria,2/25/2020,,41.0,54.0,
239,6,Austria,2/26/2020,0.17,39.0,,
240,6,Austria,2/27/2020,0.04,35.0,,31.0
241,6,Austria,2/28/2020,,37.0,,
242,6,Austria,2/29/2020,,43.0,,31.0
216,6,Austria,2/3/2020,0.63,42.0,,
217,6,Austria,2/4/2020,0.51,36.0,,
218,6,Austria,2/5/2020,,32.0,,
219,6,Austria,2/6/2020,,24.0,,
220,6,Austria,2/7/2020,,27.0,,17.0
221,6,Austria,2/8/2020,,30.0,,19.0
222,6,Austria,2/9/2020,,36.0,,22.0
243,6,Austria,3/1/2020,,44.0,,36.0
244,6,Austria,3/2/2020,,43.0,,30.0
245,7,Azerbaijan,1/22/2020,0.0,40.0,53.0,
246,7,Azerbaijan,1/23/2020,0.0,40.0,,
247,7,Azerbaijan,1/24/2020,0.0,42.0,,31.0
248,7,Azerbaijan,1/25/2020,0.0,38.0,,
249,7,Azerbaijan,1/26/2020,0.0,39.0,56.0,
250,7,Azerbaijan,1/27/2020,0.0,41.0,54.0,28.0
251,7,Azerbaijan,1/28/2020,0.0,39.0,,
252,7,Azerbaijan,1/29/2020,0.0,40.0,,
253,7,Azerbaijan,1/30/2020,0.0,50.0,69.0,30.0
254,7,Azerbaijan,1/31/2020,0.0,55.0,,31.0
255,7,Azerbaijan,2/1/2020,,44.0,52.0,40.0
264,7,Azerbaijan,2/10/2020,0.03,33.0,36.0,
265,7,Azerbaijan,2/11/2020,3.91,34.0,,
266,7,Azerbaijan,2/12/2020,0.0,38.0,54.0,
267,7,Azerbaijan,2/13/2020,0.0,44.0,,24.0
268,7,Azerbaijan,2/14/2020,0.0,41.0,50.0,
269,7,Azerbaijan,2/15/2020,0.0,42.0,51.0,
270,7,Azerbaijan,2/16/2020,0.0,45.0,51.0,33.0
271,7,Azerbaijan,2/17/2020,0.01,42.0,46.0,40.0
272,7,Azerbaijan,2/18/2020,0.0,43.0,50.0,
273,7,Azerbaijan,2/19/2020,0.0,45.0,,
256,7,Azerbaijan,2/2/2020,,43.0,53.0,
274,7,Azerbaijan,2/20/2020,0.0,46.0,50.0,36.0
275,7,Azerbaijan,2/21/2020,3.9,50.0,,43.0
